country_code,uuid,age,gender,rural,dem_education_level,dem_full_time_job,dem_has_children,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,age_group,weight
AT,f6e7ee00-deac-0133-4de8-0a81e8b09a82,61,male,rural,no,no,no,I know something about it,I would not vote,None of the above,None of the above,None of the above,40_65,1.105.534.474
AT,54f0f1c0-dda1-0133-a559-0a81e8b09a82,57,male,urban,high,yes,yes,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working,40_65,1.533.248.826
AT,83127080-da3d-0133-c74f-0a81e8b09a82,32,male,urban,NA,no,no,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,15626d40-db13-0133-ea5c-0a81e8b09a82,45,male,rural,high,yes,yes,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,None of the above,40_65,1.105.534.474
AT,24954a70-db98-0133-4a64-0a81e8b09a82,41,female,urban,high,yes,yes,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,40_65,58.731.136
AT,28583060-dbe2-0133-ff9c-0a81e8b09a82,26,female,rural,high,yes,no,I understand it fully,I would vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward,26_39,0.688873084
AT,b50dbb80-da53-0133-8956-0a81e8b09a82,26,female,urban,medium,no,no,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state,26_39,0.955387527
AT,dd743bb0-d9a5-0133-53b2-0a81e8b09a82,47,male,urban,medium,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state,40_65,1.533.248.826
AT,4fde2370-da48-0133-3a42-0a81e8b09a82,34,female,urban,medium,yes,no,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,26_39,0.955387527
AT,9949c4c0-da5f-0133-c832-0a81e8b09a82,22,female,urban,no,no,yes,I understand it fully,I would vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,14_25,1.041.864.825
AT,226cf850-db28-0133-c51a-0a81e8b09a82,49,male,urban,high,yes,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state,40_65,1.533.248.826
AT,69f1f400-dc5f-0133-ad9b-0a81e8b09a82,58,male,urban,medium,no,yes,I know something about it,I would probably vote for it,‰Û_ stop working,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,40_65,1.533.248.826
AT,2351fbe0-de4c-0133-0d58-0a81e8b09a82,25,female,urban,low,yes,no,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,14_25,1.041.864.825
AT,0f286c80-dd77-0133-7803-0a81e8b09a82,40,male,rural,medium,no,yes,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,40_65,1.105.534.474
AT,fe54f360-db27-0133-c444-0a81e8b09a82,37,male,rural,medium,no,no,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,26_39,0.704883347
AT,960b1ce0-db01-0133-528c-0a81e8b09a82,48,male,urban,medium,yes,yes,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,40_65,1.533.248.826
AT,d7912480-da41-0133-5bc1-0a81e8b09a82,31,male,rural,low,no,yes,I know something about it,I would vote against it,‰Û_ stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,26_39,0.704883347
AT,d468c670-da40-0133-de39-0a81e8b09a82,26,female,urban,high,no,no,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,26_39,0.955387527
AT,76767d10-dd6c-0133-f56d-0a81e8b09a82,17,female,urban,low,no,no,I have never heard of it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,14_25,1.041.864.825
AT,a96ed910-de55-0133-2582-0a81e8b09a82,34,male,rural,medium,yes,yes,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,26_39,0.704883347
AT,68eace50-db46-0133-97f7-0a81e8b09a82,27,male,urban,low,yes,yes,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,aa342b50-dcc4-0133-f797-0a81e8b09a82,40,male,urban,medium,yes,yes,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,40_65,1.533.248.826
AT,638a8b80-da45-0133-e8e1-0a81e8b09a82,15,female,urban,no,no,no,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance,14_25,1.041.864.825
AT,b1eb3870-decd-0133-d783-0a81e8b09a82,25,female,rural,NA,yes,no,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working,14_25,0.751226717
AT,1c8ea6b0-de3d-0133-605b-0a81e8b09a82,27,male,rural,high,yes,no,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,26_39,0.704883347
AT,d31a5ea0-d969-0133-79f5-0a81e8b09a82,35,female,urban,medium,no,yes,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working,26_39,0.955387527
AT,2c1d6730-d970-0133-9161-0a81e8b09a82,48,male,rural,medium,yes,no,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,40_65,1.105.534.474
AT,307ce090-daf9-0133-f4f2-0a81e8b09a82,51,male,rural,low,no,yes,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,40_65,1.105.534.474
AT,388a2f20-db3b-0133-570e-0a81e8b09a82,28,female,rural,medium,no,yes,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,26_39,0.688873084
AT,12cd5b70-dbd8-0133-0395-0a81e8b09a82,40,male,rural,NA,yes,yes,I have never heard of it,I would vote for it,‰Û_ work less,None of the above,None of the above,40_65,1.105.534.474
AT,684ad570-de3f-0133-705d-0a81e8b09a82,17,male,rural,low,no,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,14_25,0.675697961
AT,4c7898b0-dbdf-0133-993b-0a81e8b09a82,35,female,urban,high,yes,no,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,26_39,0.955387527
AT,d911df50-d8f8-0133-b5b7-0a81e8b09a82,25,male,urban,medium,no,no,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,14_25,0.93711515
AT,11c61a10-de3d-0133-6041-0a81e8b09a82,42,male,urban,high,yes,no,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state,40_65,1.533.248.826
AT,ab8dbf10-da1c-0133-f11e-0a81e8b09a82,37,male,rural,low,yes,yes,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,26_39,0.704883347
AT,d13a4420-dee8-0133-05e2-0a81e8b09a82,22,female,rural,medium,yes,no,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,None of the above,14_25,0.751226717
AT,9699d060-da5b-0133-0ae5-0a81e8b09a82,45,female,urban,high,yes,no,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,40_65,58.731.136
AT,d30d1810-da47-0133-15c3-0a81e8b09a82,31,male,rural,low,no,no,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state,26_39,0.704883347
